"Global
Company
Key","Calendar
Data
Year
and
Quarter","Active/Inactive
Status
Marker","Company
Name","Ticker
Symbol","Cash
and
Short-Term
Investments","Common
Shares
Outstanding","Long-Term
Debt
-
Total","Earnings
Per
Share
(Diluted)
-
Excluding
Extraordinary
Items
-
12
Months
Moving","Revenue
-
Total","Shareholders

Equity
-
Total","Market
Value
-
Total","Price
Close
-
Quarter",price Q2,P/E close,Price/Sales,LT Debt to Equity,Net Profit margin,Return on Equity,"Sales/Turnover
(Net)",Price/Book Value,Operating Margin,"% price increase, Q1 to Q2"
1075,2008Q1,A,PINNACLE WEST CAPITAL CORP,PNW,17.533,100.486,3114.579,2.76,736.738,3544.201,3525.0489,35.08,30.77,12.71,4.78,0.88,0.38,0.08,736.738,0.99,0.35,-0.12
1078,2008Q1,A,ABBOTT LABORATORIES,ABT,3636.599,1543.296,9042.858,2.46,6765.603,17979.544,85112.7744,55.15,52.97,22.42,12.58,0.5,0.56,0.21,6765.603,4.73,0.33,-0.04
1161,2008Q1,A,ADVANCED MICRO DEVICES,AMD,1753,606,5025,-5.24,1456,2637,3569.34,5.89,5.83,-1.12,2.45,1.91,-2.18,-1.2,1456,1.35,0.15,-0.01
1177,2008Q1,A,AETNA INC,AET,2028.5,484.8,3138.8,3.52,7738.7,9881.5,20405.232,42.09,40.53,11.96,2.64,0.32,0.22,0.17,7738.7,2.06,0.52,-0.04
1209,2008Q1,A,AIR PRODUCTS & CHEMICALS INC,APD,138.8,210.663,3646.4,4.9,2605.3,5524.3,19380.996,92,98.86,18.78,7.44,0.66,0.4,0.19,2605.3,3.51,0.32,0.07
1279,2008Q1,A,ALLEGHENY ENERGY INC,AYE,119.268,167.847,3961.544,2.57,875.026,2618.777,8476.2735,50.5,50.11,19.65,9.69,1.51,0.49,0.16,875.026,3.24,1.02,-0.01
1300,2008Q1,A,HONEYWELL INTERNATIONAL INC,HON,2234,741.524,6576,3.35,8895,9636,41836.7841,56.42,50.28,16.84,4.7,0.68,0.28,0.26,8895,4.34,0.21,-0.11
1356,2008Q1,A,ALCOA INC,AA,378,815.005,6438,2.56,7375,15813,29389.0803,36.06,35.62,14.09,3.98,0.41,0.28,0.13,7375,1.86,0.3,-0.01
1440,2008Q1,A,AMERICAN ELECTRIC POWER CO,AEP,494,401.505,14705,3.61,3467,10550,16714.6532,41.63,40.23,11.53,4.82,1.39,0.42,0.14,3467,1.58,1.63,-0.03
1478,2008Q1,A,WYETH,WYE,12765.113,1333.338,11669.921,3.35,5710.649,19308.159,55680.1949,41.76,47.96,12.47,9.75,0.6,0.78,0.23,5710.649,2.88,0.48,0.15
1661,2008Q1,A,NABORS INDUSTRIES LTD,NBR,1450.244,281.119,3881.575,3.04,1299.858,4787.84,9493.3886,33.77,49.23,11.11,7.3,0.81,0.66,0.18,1299.858,1.98,0.38,0.46
1663,2008Q1,A,ANHEUSER-BUSCH COS INC,BUD,217.8,713.075,9281,2.83,4099.2,3148.6,33835.4088,47.45,62.12,16.77,8.25,2.95,0.49,0.64,4099.2,10.75,1.01,0.31
